"Region","Site","Unit","Batch","Species","Start.Fish.Density","End.Fish.Density","Hatchery","Lot.Quality","Origin.Year","Origin.Month","From","From.Month","From.Year","To","To.Month","To.Year","Diff.Days","Start.Av.Weight","End.Av.Weight","Period.Av.Weight","Av.Weight.Change","Model.End.Av.Wt.Act.Feed","Av.Wt.Deviation.Perc","Av.Wt.Before.Sampl","Model.End.Av.Wt.Sugg.Feed","Actual.Feed","Feed.Category","Supplier","Period.Feed.Qty","Model.Feed.Qty","Feed.Deviation.Perc","Opening.Fish.No","Opening.Biomass","Closing.Fish.No","Closing.Biomass","Harvest.Biomass","Transfer.Minus.Kg","Transfer.Plus.Kg","Biomass.Produced","Biomass.Produced.Before.Sampl","Biol.FCR.Period","Econ.FCR.Period","Econ.FCR.Period.Before.Sampl","Mortality.No","LTD.Mortality.Kg","Model.Mortality.No","Mortality.Deviation.Perc","Mortality.Perc","SFR.Period.Perc","SFR.Period.Perc.Before.Sampl","SGR.Period.Perc","FCR.bio.*.SGR","Growth.Per.Day","TGC.Period","Avg.Temp","Av.Oxygene","Period.Day.Degrees","Start.Av.Weight.Category","End.Av.Weight.Category","Max.Feed.Qty","Food.Price","Current.Grading","Feeding.Policy","Group.Tag","Vaccinated","Feeder","Feeding.Rate.Kg.Per.Hour","Fastings.No","Transfer.Minus.No","Transfer.Plus.No","Harvest.No","Sampling.No","LTD.Econ.FCR","LTD.Mortality.No","LTD.Mortality.Perc","LTD.Adjustment.No","LTD.Adjustment.Perc","LTD.Adjustment.&.Mortality.No","LTD.Adjustment.&.Mortality.Perc"
"Γαλαξίδι","Ανεμοκάμπι","530","1405 T07 D2.GT1.1","Τσιπούρα",3.68,3.89,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2014","May",2015-04-03,"April","2015",2015-04-30,"April","2015",27,110.28,117,113.64,6.72,116.97,0.03,117.45,118.32,"IRIDA Smart 3,0mm K","IRIDA SMART","ΙΡΙΔΑ Α.Ε.",1300,1538.2,15.49,66666,7351.93,66576,7789.39,0,0,0,437.47,467.42,2.9,2.97,2.78,90,117.62,0,0,0.14,0.64,0.63,0.22,0.64,0.25,0.23,14.59,0,408,"C. 100-200","C. 100-200",1300,1.24,"X","Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,5,0,1,0,1,1.57,6740.69,9.4,-1592,-2.22,5148.69,7.18
"Γαλαξίδι","Ανεμοκάμπι","530","1405 T07 D2.GT1.1","Τσιπούρα",3.89,4.56,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2014","May",2015-04-30,"April","2015",2015-05-31,"May","2015",31,117,137,127,20,136.81,0.14,136.47,135.03,"IRIDA Smart 3,0mm K","IRIDA SMART","ΙΡΙΔΑ Α.Ε.",2650,2406.55,-10.12,66576,7789.39,66526,9114.06,0,0,0,1324.67,1289.41,1.99,2,2.06,50,123.71,0,0,0.08,1.01,1.02,0.51,1.02,0.65,0.48,17.45,0,554,"C. 100-200","C. 100-200",1950,1.24,"X","Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,1,0,0,0,2,1.63,6790.69,9.47,-1592,-2.22,5198.69,7.25
"Γαλαξίδι","Ανεμοκάμπι","317-1","1208 T14 G.GT3","Τσιπούρα",NA,NA,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2012","August",2012-08-03,"August","2012",2012-08-31,"August","2012",28,0.92,3.5,2.21,2.58,3.12,12.18,3.01,5.65,"IRIDA Power 1,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",298,645.83,53.86,150000,138,149790,524.26,0,0,0,386.26,312.87,0.77,0.77,0.95,210,0.39,27,-677.78,0.14,3.68,4.03,4.77,3.68,0.09,0.7,27.07,0,784,"A. <50","A. <50",203,2.06,NA,"Τσιπούρα - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,1,0.77,210,0.14,0,0,210,0.14
"Γαλαξίδι","Ανεμοκάμπι","546","1303 Λ3 D.GL1","Λαβράκι",4.32,5.6,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2013","February",2013-09-06,"September","2013",2013-09-30,"September","2013",24,68.48,91,79.74,22.52,91.34,-0.37,90.42,98.7,"IRIDA Smart 3,0mm K","IRIDA SMART","ΙΡΙΔΑ Α.Ε.",2525,3364.42,24.95,88240,6042.68,86080,7833.28,0,0,0,1790.6,1740.68,1.28,1.41,1.45,2160,403.63,25,-8540,2.45,1.52,1.53,1.18,1.51,0.94,0.67,24.39,0,611,"B. 50-100","B. 50-100",2275,1.26,"ΑΒ","Λαβράκι - Active 2013","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,2,0,0,0,2,1.44,7724.82,8.2,404.32,0.43,8129.14,8.63
"Γαλαξίδι","Ανεμοκάμπι","546","1303 Λ3 D.GL1","Λαβράκι",5.6,7.14,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2013","February",2013-09-30,"September","2013",2013-10-31,"October","2013",31,91,118,104.5,27,118.61,-0.51,118.63,127.08,"IRIDA Smart 3,0mm K","IRIDA SMART","ΙΡΙΔΑ Α.Ε.",3525,4628.95,23.85,86080,7833.28,84750,10000.5,0,0,0,2167.22,2220.61,1.53,1.63,1.59,1460,534.15,8,-18150,1.7,1.28,1.28,0.84,1.28,0.87,0.58,22.02,0,706,"B. 50-100","C. 100-200",2650,1.26,"ΑΒ","Λαβράκι - Active 2013","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,2,0,0,0,2,1.48,9054.82,9.61,404.32,0.43,9459.14,10.04
"Γαλαξίδι","Ανεμοκάμπι","546","1303 Λ3 D.GL1","Λαβράκι",7.14,8.65,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2013","February",2013-10-31,"October","2013",2013-11-30,"November","2013",30,118,143,130.5,25,143.93,-0.65,143.21,148.38,"IRIDA Active 4,5mm","IRIDA ACTIVE","ΙΡΙΔΑ Α.Ε.",3925,4627.18,15.18,84750,10000.5,84680,12109.24,0,0,0,2108.74,2126.52,1.85,1.86,1.85,70,542.86,0,0,0.08,1.19,1.19,0.64,1.19,0.83,0.52,20.11,0,624,"C. 100-200","C. 100-200",2375,1.15,"ΑΒ","Λαβράκι - Active 2013","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,2,0,0,0,2,1.54,9124.82,9.69,404.32,0.43,9529.14,10.11
"Γαλαξίδι","Ανεμοκάμπι","546","1303 Λ3 D.GL1","Λαβράκι",8.65,9.55,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2013","February",2013-11-30,"November","2013",2013-12-31,"December","2013",31,143,158,150.5,15,158.57,-0.36,157.98,158.63,"IRIDA Active 4,5mm","IRIDA ACTIVE","ΙΡΙΔΑ Α.Ε.",3675,3623.38,-1.42,84680,12109.24,84620,13369.96,0,0,0,1260.72,1259.03,2.89,2.92,2.92,60,551.8,0,0,0.07,0.93,0.93,0.32,0.93,0.48,0.33,17.02,0,543,"C. 100-200","C. 100-200",3675,1.15,"ΑΒ","Λαβράκι - Active 2013","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,5,0,0,0,2,1.67,9184.82,9.75,404.32,0.43,9589.14,10.18
"Γαλαξίδι","Ανεμοκάμπι","546","1303 Λ3 D.GL1","Λαβράκι",11.16,11.48,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2013","February",2014-01-10,"January","2014",2014-01-31,"January","2014",21,184.66,190,187.33,5.34,189.2,0.42,188.18,189.76,"IRIDA Active II 4,5mm","IRIDA ACTIVE","ΙΡΙΔΑ Α.Ε.",1675,1867.19,10.29,84603,15622.79,84598,16073.62,0,0,0,450.83,296.86,3.71,3.72,5.64,5,555.42,0,0,0.01,0.5,0.51,0.14,0.52,0.25,0.16,15.02,0,331,"C. 100-200","C. 100-200",1450,1.1,"ΑΒ","Λαβράκι - Active 2013","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.54,9206.82,9.77,404.32,0.43,9611.14,10.2
"Γαλαξίδι","Ανεμοκάμπι","517","1510 T18 GT5/6.05","Τσιπούρα",1.32,2.15,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2015","September",2015-10-31,"October","2015",2015-11-30,"November","2015",30,19,31,25,12,32.02,-3.19,31.21,29.84,"IRIDA Power 1,5mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",2235,1862.55,-20,138630,2633.97,138585,4296.14,0,0,0,1662.16,1691.27,1.34,1.34,1.32,45,5.44,31,-45.16,0.03,2.19,2.18,1.63,2.19,0.4,0.79,19.24,0,598,"A. <50","A. <50",1460,1.93,"α","Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.13,415,0.3,0,0,415,0.3
"Γαλαξίδι","Ανεμοκάμπι","670-1","1311 T18 G.GT3","Τσιπούρα",3.5,4.58,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2013","November",2014-07-11,"July","2014",2014-07-31,"July","2014",20,47.76,63,55.38,15.24,63.34,-0.54,63.51,65.85,"IRIDA Smart 3,0mm K","IRIDA SMART","ΙΡΙΔΑ Α.Ε.",3850,4506.19,14.56,205218,9801.21,203348,12810.92,0,0,0,3009.71,3113.42,1.23,1.28,1.24,1870,395.76,21,-8804.76,0.91,1.71,1.71,1.38,1.7,0.76,0.73,22.96,0,483,"A. <50","B. 50-100",2450,1.24,NA,"Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.44,8652,4.04,2000,0.93,10652,4.98
