"Region","Site","Unit","Batch","Species","Start.Fish.Density","End.Fish.Density","Hatchery","Lot.Quality","Origin.Year","Origin.Month","From","From.Month","From.Year","To","To.Month","To.Year","Diff.Days","Start.Av.Weight","End.Av.Weight","Period.Av.Weight","Av.Weight.Change","Model.End.Av.Wt.Act.Feed","Av.Wt.Deviation.Perc","Av.Wt.Before.Sampl","Model.End.Av.Wt.Sugg.Feed","Actual.Feed","Feed.Category","Supplier","Period.Feed.Qty","Model.Feed.Qty","Feed.Deviation.Perc","Opening.Fish.No","Opening.Biomass","Closing.Fish.No","Closing.Biomass","Harvest.Biomass","Transfer.Minus.Kg","Transfer.Plus.Kg","Biomass.Produced","Biomass.Produced.Before.Sampl","Biol.FCR.Period","Econ.FCR.Period","Econ.FCR.Period.Before.Sampl","Mortality.No","LTD.Mortality.Kg","Model.Mortality.No","Mortality.Deviation.Perc","Mortality.Perc","SFR.Period.Perc","SFR.Period.Perc.Before.Sampl","SGR.Period.Perc","FCR.bio.*.SGR","Growth.Per.Day","TGC.Period","Avg.Temp","Av.Oxygene","Period.Day.Degrees","Start.Av.Weight.Category","End.Av.Weight.Category","Max.Feed.Qty","Food.Price","Current.Grading","Feeding.Policy","Group.Tag","Vaccinated","Feeder","Feeding.Rate.Kg.Per.Hour","Fastings.No","Transfer.Minus.No","Transfer.Plus.No","Harvest.No","Sampling.No","LTD.Econ.FCR","LTD.Mortality.No","LTD.Mortality.Perc","LTD.Adjustment.No","LTD.Adjustment.Perc","LTD.Adjustment.&.Mortality.No","LTD.Adjustment.&.Mortality.Perc"
"Γαλαξίδι","Ανεμοκάμπι","534","1510 T19 GT3/5/6.04","Τσιπούρα",3.3,3.85,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2015","October",2016-04-30,"April","2016",2016-05-20,"May","2016",20,39,45.6,42.3,6.6,44.27,3,44.1,45.62,"IRIDA Power 2,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",1525,1926.24,20.83,169090,6594.51,169010,7706.86,0,0,0,1112.35,858.83,1.37,1.37,1.78,80,153.57,21,-280.95,0.05,1.07,1.09,0.78,1.07,0.33,0.51,16.88,0,354,"A. <50","A. <50",1525,1.61,"βγ","Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,1,0,0,0,2,1.8,4652.7,2.68,0,0,4652.7,2.68
"Γαλαξίδι","Ανεμοκάμπι","Jok 3-1","1407 Φ01 G.G","Φαγκρί",NA,NA,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2014","July",2014-10-06,"October","2014",2014-10-31,"October","2014",25,7,9,8,2,12.33,-27.01,10.87,14.72,"IRIDA Power 2,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",190,364.98,47.94,8396,58.77,48285,434.56,0,0,279.22,96.57,186.86,1.97,1.97,1.02,0,3.45,0,0,0,15.75,8.9,1.01,1.99,0.08,0.29,21.96,0,572,"A. <50","A. <50",95,1.61,"X","Άλλα είδη - Active 2013","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,1,0,8,0,1,3.33,1067.28,2.34,-3702.84,-8.11,-2635.56,-5.77
"Γαλαξίδι","Ανεμοκάμπι","201","1102 T2 G.G","Τσιπούρα",NA,NA,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2011","February",2011-02-15,"February","2011",2011-02-28,"February","2011",13,1.04,1.2,1.12,0.16,1.14,5.26,1.13,1.14,"IRIDA Style 12,0mm","IRIDA STYLE","ΙΡΙΔΑ Α.Ε.",298,324.62,8.2,1335000,1388.4,1331787,1598.14,0,0,0,209.74,116.52,1.4,1.42,2.56,3213,3.63,154,-1986.36,0.24,1.54,1.59,1.1,1.54,0.01,0.26,0,0,190,"A. <50","A. <50",298,5353.61,"Β","Τσιπούρα - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,1,1.42,3213,0.24,0,0,3213,0.24
"Γαλαξίδι","Ανεμοκάμπι","201","1102 T2 G.G","Τσιπούρα",NA,NA,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2011","February",2011-02-28,"February","2011",2011-03-31,"March","2011",31,1.2,1.7,1.45,0.5,1.59,6.92,1.55,1.44,"IRIDA Style 12,0mm","IRIDA STYLE","ΙΡΙΔΑ Α.Ε.",1467,840.75,-74.49,1331787,1598.14,1321083,2245.84,0,0,0,647.7,449.53,2.22,2.26,3.26,9204,17.9,352,-2514.77,0.69,2.49,2.61,1.12,2.48,0.02,0.31,0,0,423,"A. <50","A. <50",1467,5353.61,"Β","Τσιπούρα - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,2.06,12417,0.93,1500,0.11,13917,1.04
"Γαλαξίδι","Ανεμοκάμπι","201","1102 T2 G.G","Τσιπούρα",NA,NA,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2011","February",2011-03-31,"March","2011",2011-04-30,"April","2011",30,1.7,2.8,2.25,1.1,2.66,5.26,2.56,2.39,"IRIDA Style 12,0mm","IRIDA STYLE","ΙΡΙΔΑ Α.Ε.",1925,1490.82,-29.12,1321083,2245.84,1320325,3696.91,0,0,0,1451.07,1134.19,1.32,1.33,1.7,758,19.84,341,-122.29,0.06,2.2,2.31,1.66,2.2,0.04,0.47,0,0,461,"A. <50","A. <50",1925,5353.61,"Β","Τσιπούρα - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.6,13175,0.99,1500,0.11,14675,1.1
"Γαλαξίδι","Ανεμοκάμπι","201","1102 T2 G.G","Τσιπούρα",NA,NA,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2011","February",2011-04-30,"April","2011",2011-05-31,"May","2011",31,2.8,5.3,4.05,2.5,4.76,11.34,4.56,5.39,"IRIDA Style 12,0mm","IRIDA STYLE","ΙΡΙΔΑ Α.Ε.",3238,4029.15,19.64,1320325,3696.91,1317620,6983.39,0,0,0,3286.48,2311.44,0.98,0.99,1.4,2705,32.19,352,-668.47,0.2,2.02,2.19,2.06,2.02,0.08,0.6,0,0,554,"A. <50","A. <50",3238,5353.61,"Β","Τσιπούρα - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.24,15880,1.19,1500,0.11,17380,1.3
"Γαλαξίδι","Ανεμοκάμπι","201","1102 T2 G.G","Τσιπούρα",NA,NA,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2011","February",2011-05-31,"May","2011",2011-06-30,"June","2011",30,5.3,10,7.65,4.7,10.94,-8.59,10.29,13.6,"IRIDA Style 12,0mm","IRIDA STYLE","ΙΡΙΔΑ Α.Ε.",6829,10450.09,34.65,1317620,6983.39,1305324,13053.24,0,0,0,6069.85,6448.4,1.09,1.13,1.06,21060,249.07,341,-6075.95,1.6,2.35,2.31,2.12,2.3,0.16,0.63,0,0,651,"A. <50","A. <50",6829,5353.61,"Β","Τσιπούρα - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.18,36940,2.77,-7264,-0.54,29676,2.22
"Γαλαξίδι","Ανεμοκάμπι","201","1102 T2 G.G","Τσιπούρα",NA,NA,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2011","February",2011-06-30,"June","2011",2011-07-31,"July","2011",31,10,16.5,13.25,6.5,19.65,-16.03,18.31,25.66,"IRIDA Style 12,0mm","IRIDA STYLE","ΙΡΙΔΑ Α.Ε.",10705,19261.3,44.42,1305324,13053.24,1219901,20128.37,0,0,0,7075.13,9283.15,1.33,1.51,1.15,54599,1249.11,335,-16198.21,4.18,2.11,2,1.62,2.15,0.21,0.51,0,0,764,"A. <50","A. <50",10705,5353.61,"Β","Τσιπούρα - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.31,91539,6.86,23560,1.76,115099,8.62
"Γαλαξίδι","Ανεμοκάμπι","201","1102 T2 G.G","Τσιπούρα",NA,NA,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2011","February",2011-07-31,"July","2011",2011-08-31,"August","2011",31,16.5,29.2,22.85,12.7,30.32,-3.69,28.92,38.21,"IRIDA Style 12,0mm","IRIDA STYLE","ΙΡΙΔΑ Α.Ε.",17430,28096.33,37.96,1219901,20128.37,1218168,35570.51,0,0,0,15442.14,15101.05,1.13,1.13,1.15,1733,1299.23,320,-441.56,0.14,2.07,2.08,1.84,2.07,0.41,0.65,0,0,823,"A. <50","A. <50",17430,5353.61,"Β","Τσιπούρα - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.23,93272,6.99,23560,1.76,116832,8.75
"Γαλαξίδι","Ανεμοκάμπι","201","1102 T2 G.G","Τσιπούρα",NA,NA,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2011","February",2011-08-31,"August","2011",2011-09-30,"September","2011",30,29.2,42.9,36.05,13.7,45.58,-5.88,43.93,54.33,"IRIDA Style 12,0mm","IRIDA STYLE","ΙΡΙΔΑ Α.Ε.",20995,34794.28,39.66,1218168,35570.51,1217335,52223.67,0,0,0,16653.17,17907.02,1.26,1.26,1.17,833,1335.83,310,-168.71,0.07,1.61,1.59,1.28,1.61,0.46,0.55,0,0,761,"A. <50","A. <50",20995,5353.61,"Β","Τσιπούρα - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.24,94105,7.05,23560,1.76,117665,8.81
"Γαλαξίδι","Ανεμοκάμπι","201","1102 T2 G.G","Τσιπούρα",NA,NA,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2011","February",2011-09-30,"September","2011",2011-10-31,"October","2011",31,42.9,66.1,54.5,23.2,69.06,-4.29,66.43,66.09,"IRIDA Style 12,0mm","IRIDA STYLE","ΙΡΙΔΑ Α.Ε.",37815,35317.05,-7.07,1217335,52223.67,1216748,80427.04,0,0,0,28203.37,28604.9,1.34,1.34,1.32,587,1374.82,320,-83.44,0.05,1.87,1.86,1.39,1.86,0.75,0.79,0,0,688,"A. <50","B. 50-100",37815,5353.61,"Β","Τσιπούρα - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.27,94692,7.09,23560,1.76,118252,8.86
"Γαλαξίδι","Ανεμοκάμπι","201","1102 T2 G.G","Τσιπούρα",NA,51.49,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2011","February",2011-10-31,"October","2011",2011-11-30,"November","2011",30,66.1,84.7,75.4,18.6,86.57,-2.16,84.5,84.2,"IRIDA Style 12,0mm","IRIDA STYLE","ΙΡΙΔΑ Α.Ε.",40765,35352.46,-15.31,1216748,80427.04,1215752,102974.19,0,0,0,22547.15,22304,1.8,1.81,1.83,996,1458.99,310,-221.29,0.08,1.49,1.49,0.83,1.5,0.62,0.6,0,0,583,"B. 50-100","B. 50-100",40765,5353.61,"Β","Τσιπούρα - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.39,95688,7.17,23560,1.76,119248,8.93
"Γαλαξίδι","Ανεμοκάμπι","201","1102 T2 G.G","Τσιπούρα",5.84,6.04,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2011","February",2012-01-09,"January","2012",2012-01-31,"January","2012",22,109.22,113,111.11,3.78,113.4,-0.35,113.19,113,"IRIDA Smart 3,0mm","IRIDA SMART","ΙΡΙΔΑ Α.Ε.",1675,1502.29,-11.5,106994,11685.88,106959,12086.37,0,0,0,400.48,420.8,4.14,4.18,3.98,35,143.99,0,0,0.03,0.64,0.64,0.15,0.62,0.17,0.17,13.63,0,320,"C. 100-200","C. 100-200",1675,1.01,"Β","Τσιπούρα - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.46,8582.58,7.3,2075.7,1.76,10658.28,9.06
"Γαλαξίδι","Ανεμοκάμπι","201","1102 T2 G.G","Τσιπούρα",6.04,6.2,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2011","February",2012-01-31,"January","2012",2012-02-29,"February","2012",29,113,116,114.5,3,116.06,-0.05,115.86,115.48,"IRIDA Smart 3,0mm","IRIDA SMART","ΙΡΙΔΑ Α.Ε.",1675,1330.56,-25.89,106959,12086.37,106874,12397.38,0,0,0,311.02,296.05,5.22,5.39,5.66,85,153.7,0,0,0.08,0.47,0.47,0.09,0.47,0.1,0.11,12.72,0,375,"C. 100-200","C. 100-200",1675,1.01,"Β","Τσιπούρα - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.55,8667.58,7.37,2075.7,1.76,10743.28,9.13
"Γαλαξίδι","Ανεμοκάμπι","201","1102 T2 G.G","Τσιπούρα",6.2,6.46,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2011","February",2012-02-29,"February","2012",2012-03-31,"March","2012",31,116,121,118.5,5,120.47,0.44,120.34,120.3,"IRIDA Smart 3,0mm","IRIDA SMART","ΙΡΙΔΑ Α.Ε.",2050,1794.47,-14.24,106874,12397.38,106782,12920.62,0,0,0,523.24,452.76,3.83,3.92,4.53,97,164.56,0,0,0.09,0.52,0.52,0.14,0.54,0.16,0.16,13.41,0,423,"C. 100-200","C. 100-200",2050,1.03,"Β","Τσιπούρα - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.64,8759.58,7.45,2075.7,1.76,10835.28,9.21
"Γαλαξίδι","Ανεμοκάμπι","516","1601 T02 DT1.06","Τσιπούρα",1,1.37,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2016","January",2016-03-31,"March","2016",2016-04-30,"April","2016",30,8.7,12,10.35,3.3,11.94,0.5,11.5,13.12,"IRIDA Power 1,5mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",1065,1466,27.35,229210,1994.13,228910,2746.92,0,0,0,752.79,638.34,1.41,1.41,1.67,300,3.93,31,-867.74,0.13,1.51,1.54,1.07,1.51,0.11,0.46,16.1,0,501,"A. <50","A. <50",640,1.93,"β","Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Checked",NA,0,1,0,0,0,2,1.42,455,0.22,-22365,-10.8,-21910,-10.58
"Γαλαξίδι","Ανεμοκάμπι","528","1509 T15 G.BS8","Τσιπούρα",2.91,3.46,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2015","September",2015-12-12,"December","2015",2015-12-31,"December","2015",19,18.51,22,20.26,3.49,21.33,3.14,21.36,22.39,"IRIDA Power 1,5mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",1405,1930.96,27.24,314600,5823.25,314300,6914.6,0,0,0,1091.35,890.2,1.28,1.29,1.58,300,57.34,40,-650,0.1,1.16,1.18,0.91,1.17,0.18,0.48,16.4,0,324,"A. <50","A. <50",1180,1.93,NA,"Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,2,0,1,0,1,1.09,4700,1.47,0,0,4700,1.47
"Γαλαξίδι","Ανεμοκάμπι","528","1509 T15 G.BS8","Τσιπούρα",2.52,3.3,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2015","September",2016-01-31,"January","2016",2016-02-29,"February","2016",29,26,34,30,8,30.2,12.58,29.62,29.37,"IRIDA Power 2,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",2070,1615.57,-28.13,194110,5046.86,194045,6597.53,0,0,0,1550.67,700.75,1.33,1.33,2.95,65,40.01,30,-116.67,0.03,1.23,1.32,0.93,1.24,0.28,0.65,14.17,0,425,"A. <50","A. <50",2070,1.61,NA,"Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.26,3086.86,1.57,0,0,3086.86,1.57
"Γαλαξίδι","Ανεμοκάμπι","528","1509 T15 G.BS8","Τσιπούρα",3.3,3.67,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2015","September",2016-02-29,"February","2016",2016-03-16,"March","2016",16,34,37.89,35.95,3.89,37.09,2.16,35.82,37.46,"IRIDA Power 2,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",1255,1379.89,9.05,194045,6597.53,193970,7349.52,0,0,0,751.99,350.48,1.66,1.67,3.58,75,42.63,17,-341.18,0.04,1.13,1.16,0.68,1.13,0.24,0.47,14.91,0,252,"A. <50","A. <50",1255,1.61,NA,"Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.28,3161.86,1.6,0,0,3161.86,1.6
"Γαλαξίδι","Ανεμοκάμπι","528","1509 T15 G.BS8","Τσιπούρα",3.67,3.88,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2015","September",2016-03-16,"March","2016",2016-03-31,"March","2016",15,37.89,40,38.95,2.11,40.48,-1.19,40.44,41.18,"IRIDA Power 2,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",1125,1400.49,19.67,193970,7349.52,193910,7756.4,0,0,0,406.88,492.2,2.75,2.76,2.29,60,44.98,16,-275,0.03,0.99,0.99,0.36,0.99,0.14,0.26,14.88,0,237,"A. <50","A. <50",1125,1.61,NA,"Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,1,0,0,0,2,1.37,3221.86,1.63,0,0,3221.86,1.63
"Γαλαξίδι","Ανεμοκάμπι","528","1509 T15 G.BS8","Τσιπούρα",3.88,4.43,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2015","September",2016-03-31,"March","2016",2016-04-14,"April","2016",14,40,45.7,42.85,5.7,42.65,7.15,41.85,43.98,"IRIDA Power 2,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",995,1489.22,33.19,193910,7756.4,193890,8860.77,0,0,0,1104.37,357.9,0.9,0.9,2.78,20,45.79,15,-33.33,0.01,0.86,0.9,0.95,0.86,0.41,0.66,15.78,0,237,"A. <50","A. <50",995,1.61,NA,"Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.3,3241.86,1.64,0,0,3241.86,1.64
"Γαλαξίδι","Ανεμοκάμπι","528","1509 T15 G.BS8","Τσιπούρα",4.43,4.65,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2015","September",2016-04-14,"April","2016",2016-04-30,"April","2016",16,45.7,48,46.85,2.3,48.33,-0.68,48.12,51.42,"IRIDA Power 2,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",930,1994.3,53.37,193890,8860.77,193830,9303.84,0,0,0,443.07,466.33,2.09,2.1,1.99,60,48.55,17,-252.94,0.03,0.64,0.64,0.31,0.65,0.14,0.21,16.38,0,280,"A. <50","A. <50",930,1.61,NA,"Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.33,3301.86,1.67,0,0,3301.86,1.67
"Γαλαξίδι","Ανεμοκάμπι","521","1601 T02 DT1.06","Τσιπούρα",0.54,0.67,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2016","January",2016-01-26,"January","2016",2016-02-29,"February","2016",34,5.67,7,6.34,1.33,7.08,-1.13,6.89,7.47,"IRIDA Power 1,5mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",555,728.23,23.79,192000,1088.64,190940,1336.58,0,0,0,247.94,226.94,2.18,2.24,2.45,1060,6.05,35,-2928.57,0.55,1.35,1.36,0.62,1.35,0.04,0.26,14.14,0,495,"A. <50","A. <50",315,1.93,"β","Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,1,0,0,0,1,2.24,1060,0.55,0,0,1060,0.55
"Γαλαξίδι","Ανεμοκάμπι","536","1408 Λ08 D3.GL3","Λαβράκι",1.88,2.89,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2014","July",2014-09-10,"September","2014",2014-09-30,"September","2014",20,19.93,31,25.46,11.07,31.31,-0.99,30.76,35.86,"IRIDA Power 2,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",2150,3040.54,29.29,188712,3761.03,186502,5781.56,0,0,0,2020.53,1975.77,1.04,1.06,1.09,2210,158.14,42,-5161.9,1.17,2.29,2.3,2.21,2.29,0.55,0.84,24.5,0,512,"A. <50","A. <50",2150,1.61,NA,"Λαβράκι - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,1,0,1,0,1,0.98,15498,7.67,0,0,15498,7.67
"Γαλαξίδι","Ανεμοκάμπι","536","1408 Λ08 D3.GL3","Λαβράκι",2.36,3.75,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2014","July",2014-10-31,"October","2014",2014-11-30,"November","2014",30,51,65,58,14,66.07,-1.62,65.31,71.69,"IRIDA Smart 3,0mm K","IRIDA SMART","ΙΡΙΔΑ Α.Ε.",2175,3042.96,28.52,92452,4715.05,92412,6006.78,0,0,0,1291.73,1320.38,1.68,1.68,1.65,40,115.91,31,-29.03,0.04,1.36,1.36,0.81,1.36,0.47,0.52,19.18,0,595,"B. 50-100","B. 50-100",1150,1.24,NA,"Λαβράκι - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,1,0,0,0,2,1.2,8667.75,8.58,0,0,8667.75,8.58
"Γαλαξίδι","Ανεμοκάμπι","536","1408 Λ08 D3.GL3","Λαβράκι",3.75,4.33,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2014","July",2014-11-30,"November","2014",2014-12-31,"December","2014",31,65,75,70,10,74.51,0.66,73.4,80,"IRIDA Smart 3,0mm K","IRIDA SMART","ΙΡΙΔΑ Α.Ε.",1775,2784,36.24,92412,6006.78,92307,6923.02,0,0,0,916.25,768.55,1.92,1.94,2.31,105,122.99,32,-228.12,0.11,0.89,0.9,0.46,0.88,0.32,0.35,17.19,0,556,"B. 50-100","B. 50-100",1775,1.24,NA,"Λαβράκι - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,1,0,0,0,2,1.29,8772.75,8.68,0,0,8772.75,8.68
"Γαλαξίδι","Ανεμοκάμπι","536","1408 Λ08 D3.GL3","Λαβράκι",4.44,4.59,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2014","July",2015-01-31,"January","2015",2015-02-24,"February","2015",24,77,79.71,78.35,2.71,79.47,0.3,79.19,79.38,"IRIDA Smart 3,0mm K","IRIDA SMART","ΙΡΙΔΑ Α.Ε.",1125,1080.42,-4.13,92264,7104.33,92119,7342.81,0,0,0,238.48,190.58,4.51,4.72,5.9,145,137.47,25,-480,0.16,0.65,0.65,0.14,0.63,0.11,0.14,13.84,0,346,"B. 50-100","B. 50-100",1075,1.24,NA,"Λαβράκι - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,6,0,0,0,2,1.63,8960.75,8.87,0,0,8960.75,8.87
"Γαλαξίδι","Ανεμοκάμπι","507","1311 T18 G.GT3","Τσιπούρα",3.02,3.2,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2013","November",2014-07-01,"July","2014",2014-07-11,"July","2014",10,42.13,45.8,43.97,3.67,47.63,-3.84,46.88,51.02,"IRIDA Power 2,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",1075,1741.31,38.26,171796,7237.77,167726,7681.85,0,0,0,444.09,625.23,1.74,2.42,1.72,4070,630.27,11,-36900,2.37,1.44,1.42,0.84,1.46,0.37,0.38,23.09,0,256,"A. <50","A. <50",1075,1.61,NA,"Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,1,0,1,0,1,1.67,16274,8.84,0,0,16274,8.84
"Γαλαξίδι","Ανεμοκάμπι","507","1311 T18 G.GT3","Τσιπούρα",3.2,4.5,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2013","November",2014-07-11,"July","2014",2014-07-31,"July","2014",20,45.8,65,55.4,19.2,63.29,2.7,63.47,63.78,"IRIDA Smart 3,0mm K","IRIDA SMART","ΙΡΙΔΑ Α.Ε.",3525,3616.38,2.53,167726,7681.85,166166,10800.79,0,0,0,3118.94,2864.71,1.1,1.13,1.23,1560,720.57,21,-7328.57,0.93,1.93,1.95,1.75,1.92,0.96,0.92,22.96,0,483,"A. <50","B. 50-100",1975,1.24,NA,"Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,1.51,17834,9.69,0,0,17834,9.69
"Γαλαξίδι","Ανεμοκάμπι","310-1","1509 T14 GDT5.02","Τσιπούρα",0.58,1.31,"Γ.Θ. Κ. Α.Ε. - Τράχηλας Δεσφίνας",NA,"2015","August",2015-08-31,"August","2015",2015-09-15,"September","2015",15,2.9,6.94,4.92,4.04,9.12,-23.9,8.97,7.11,"IRIDA Power 1,0mm","IRIDA POWER","ΙΡΙΔΑ Α.Ε.",615,413.62,-48.69,109840,318.54,104019,721.89,0,0,0,403.36,614.51,1.52,1.52,1,110,0.7,0,0,0.1,8.32,7.17,5.82,8.86,0.27,1.16,25.69,0,414,"A. <50","A. <50",615,2.17,"α","Τσιπούρα - τρέχον","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Checked",NA,0,0,0,0,0,2,1.42,210,0.19,5771,5.25,5981,5.44
"Γαλαξίδι","Ανεμοκάμπι","538","1101 Λ1 G.G","Λαβράκι",NA,NA,"Γ. Θ. Κ. Α.Ε. - Γαλαξίδι",NA,"2011","January",2011-01-31,"January","2011",2011-02-28,"February","2011",28,1.4,1.8,1.6,0.4,1.79,0.56,1.73,1.83,"IRIDA Style 12,0mm","IRIDA STYLE","ΙΡΙΔΑ Α.Ε.",494,575.23,14.12,435000,609,413830,744.89,0,0,0,135.89,106.93,2.86,3.64,4.62,21170,43.9,145,-14500,4.87,2.62,2.67,0.9,2.58,0.01,0.24,0,0,400,"A. <50","A. <50",494,5353.61,NA,"Λαβράκι - Style 2012","Γαλαξίδι (Β1, 2, 2Ν, 3 & 6)","Unchecked",NA,0,0,0,0,0,2,4.08,26170,5.95,0,0,26170,5.95
